PK,TimeStamp,Level,Parent,IsBusiness,Tag,Application,Message,Ticks,DataIn,DataInType,DataOut,DataOutType,TerminalID,TerminalIP,FKUser,ItemID,ItemType,FKExtern,
0,11-01-21 16:08:36,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 16:16:53,Log,0,True,"MEM","","146643264 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 16:16:54,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 16:16:55,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 16:17:59,Log,0,True,"MEM","","153938648 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 16:18:01,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 16:18:02,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 16:20:58,Log,0,True,"MEM","","180593648 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 16:21:00,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 16:21:00,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 16:22:41,Log,0,True,"MEM","","195836976 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 16:22:44,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 16:22:44,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
